,60000002-01 XPE 1ET,60000027-01 XPE 1ETDD,60000031-01 XPE 1ETDD-DT8,60000032-01 XPE 1ETDD-DT8 XPE,60000035-01 XPE 1ETDD-LiveLink,60000289-01 XPE 1ETDD-LiLi XPE
intercept,-0.4909563065469266,0.9306840903323286,0.07428729275743697,-1.4328771845005612,0.5705029134347746,0.34835919452295777
Objekt,-0.0001730285303565866,-0.008832762778982827,0.2576881828402651,-0.22434865422000777,-0.005153017576706445,-0.019180719734211638
Bezeichnung,-0.35524116327048144,-0.39885231669517185,0.4927331901641,1.183023957533299,-1.1792879674770123,0.2576242997452692
Z_P_BAUREIHE_NEU,0.2676623511539387,0.09052308749590253,1.130219385102431,-0.5170334709963249,-0.0010840418637323727,-0.9702873108922168
Z_P_FUNKTION,-0.06310668025820915,0.40985711686899845,-0.031486658588409835,-0.015534898202602862,-0.11591239803015119,-0.18381648178962637
Z_P_SCHALTUNG,-3.0764575813580533,0.3096008933469584,1.4659824347863375,0.3792043787923733,0.5322688438655675,0.38940103056681813
Z_P_LEDSYSTEM_1,-0.004531779418065974,-0.28850702931244115,0.280540791314954,0.6356737745392482,-0.1817487465798343,-0.4414270105438588
Z_P_LEDSYSTEM_2,0.004531779418065974,0.28850702931244115,-0.280540791314954,-0.6356737745392482,0.1817487465798343,0.4414270105438588
Z_P_LEDSYSTEM_3,0.004531779418065974,0.28850702931244115,-0.280540791314954,-0.6356737745392482,0.1817487465798343,0.4414270105438588
Z_P_LMS,0.16660858007190327,0.30200692072209134,0.1896183433751631,0.0012715785514240143,-0.7161475491890974,0.05664212646851632
Z_P_SCHUTZKLASSE,-0.06310668025820916,0.4098571168689984,-0.03148665858840984,-0.015534898202602865,-0.1159123980301512,-0.18381648178962628
